ID;Giocatore;Ruolo;Ruolo2;Squadra;cIniziale;cAttuale;cDiff
103;BASSI;P;P;ATALANTA;1;1;0
146;RADUNOVIC;P;P;ATALANTA;1;1;0
156;SPORTIELLO;P;P;ATALANTA;11;11;0
220;BELLINI;D;D;ATALANTA;4;4;0
232;BRIVIO;D;D;ATALANTA;3;3;0
240;CANINI;D;D;ATALANTA;2;2;0
246;CHERUBIN;D;D;ATALANTA;4;4;0
252;CONTI A.;D;D;ATALANTA;2;2;0
264;DEL GROSSO;D;D;ATALANTA;3;3;0
270;DRAME';D;D;ATALANTA;4;4;0
303;KRESIC;D;D;ATALANTA;1;1;0
319;MASIELLO;D;D;ATALANTA;4;4;0
352;RAIMONDI;D;D;ATALANTA;5;5;0
371;STENDARDO;D;D;ATALANTA;6;6;0
374;SUAGHER;D;D;ATALANTA;3;3;0
527;CARMONA;C;C;ATALANTA;5;5;0
533;CIGARINI;C;C;ATALANTA;9;9;0
539;D'ALESSANDRO;C;T;ATALANTA;5;5;0
542;DE ROON;C;C;ATALANTA;5;5;0
553;ESTIGARRIBIA;C;C;ATALANTA;6;6;0
564;GIORGI;C;C;ATALANTA;3;3;0
566;GOMEZ;C;T;ATALANTA;12;12;0
568;GRASSI;C;C;ATALANTA;2;2;0
598;KURTIC;C;C;ATALANTA;6;6;0
619;MIGLIACCIO;C;C;ATALANTA;3;3;0
622;MORALEZ;C;T;ATALANTA;14;14;0
812;BOAKYE;A;A;ATALANTA;7;7;0
821;DENIS;A;A;ATALANTA;17;17;0
863;MARILUNGO;A;A;ATALANTA;8;8;0
871;MONACHELLO;A;A;ATALANTA;5;5;0
888;PINILLA;A;A;ATALANTA;18;18;0
116;DA COSTA;P;P;BOLOGNA;1;1;0
134;MIRANTE;P;P;BOLOGNA;10;10;0
150;SARR;P;P;BOLOGNA;1;1;0
276;FERRARI;D;D;BOLOGNA;2;2;0
283;GASTALDELLO;D;D;BOLOGNA;7;7;0
312;MAIETTA;D;D;BOLOGNA;3;3;0
320;MASINA;D;D;BOLOGNA;3;3;0
323;MBAYE;D;D;BOLOGNA;5;5;0
332;MORLEO;D;D;BOLOGNA;4;4;0
336;OIKONOMOU;D;D;BOLOGNA;4;4;0
361;ROSSETTINI;D;D;BOLOGNA;6;6;0
404;CECCARELLI;D;D;BOLOGNA;3;3;0
408;KRAFTH;D;D;BOLOGNA;4;4;0
519;BRIGHI;C;C;BOLOGNA;6;6;0
537;CRISETIG;C;C;BOLOGNA;5;5;0
549;DIAWARA;C;C;BOLOGNA;1;1;0
652;RIZZO;C;C;BOLOGNA;6;6;0
683;ZUCULINI;C;C;BOLOGNA;4;4;0
684;BRIENZA;C;T;BOLOGNA;15;15;0
689;PULGAR;C;C;BOLOGNA;6;6;0
696;FALCO;C;T;BOLOGNA;5;5;0
801;ACQUAFRESCA;A;A;BOLOGNA;11;11;0
814;CACIA;A;A;BOLOGNA;12;12;0
822;DESTRO;A;A;BOLOGNA;18;18;0
861;MANCOSU;A;A;BOLOGNA;9;9;0
919;PAPONI;A;A;BOLOGNA;4;4;0
104;BENUSSI;P;P;CARPI;2;2;0
109;BRKIC;P;P;CARPI;8;8;0
135;MURANO;P;P;CARPI;1;1;0
233;BUBNJIC;D;D;CARPI;3;3;0
280;GABRIEL SILVA;D;D;CARPI;5;5;0
281;GAGLIOLO;D;D;CARPI;6;6;0
306;LETIZIA;D;D;CARPI;5;5;0
348;POLI F.;D;D;CARPI;3;3;0
358;ROMAGNOLI S.;D;D;CARPI;4;4;0
387;WALLACE;D;D;CARPI;4;4;0
400;SPOLLI;D;D;CARPI;6;6;0
513;BIANCO;C;C;CARPI;3;3;0
547;DI GAUDIO;C;T;CARPI;9;9;0
603;LAZZARI;C;C;CARPI;7;7;0
604;LOLLO;C;C;CARPI;4;4;0
612;MARRONE;C;C;CARPI;6;6;0
634;PASCIUTI;C;C;CARPI;5;5;0
645;PORCARI;C;C;CARPI;4;4;0
646;PUGLIESE;C;C;CARPI;1;1;0
685;MARTINHO;C;C;CARPI;8;8;0
686;FEDELE;C;C;CARPI;4;4;0
695;INIGUEZ;C;C;CARPI;5;5;0
852;LASAGNA;A;A;CARPI;10;10;0
865;MATOS;A;T;CARPI;8;8;0
867;MBAKOGU;A;A;CARPI;15;15;0
909;WILCZEK;A;A;CARPI;11;11;0
107;BIZZARRI;P;P;CHIEVO;11;11;0
152;SECULIN;P;P;CHIEVO;1;1;0
162;BRESSAN;P;P;CHIEVO;1;1;0
224;BIRAGHI;D;D;CHIEVO;4;4;0
235;CACCIATORE;D;D;CHIEVO;4;4;0
245;CESAR B.;D;D;CHIEVO;4;4;0
256;DAINELLI;D;D;CHIEVO;6;6;0
279;FREY N.;D;D;CHIEVO;5;5;0
282;GAMBERINI;D;D;CHIEVO;4;4;0
289;GOBBI;D;D;CHIEVO;5;5;0
321;MATTIELLO;D;D;CHIEVO;4;4;0
350;PUCINO;D;D;CHIEVO;3;3;0
366;SARDO;D;D;CHIEVO;4;4;0
381;TROIANI;D;D;CHIEVO;1;1;0
516;BIRSA;C;T;CHIEVO;6;6;0
528;CASTRO L.;C;C;CHIEVO;11;11;0
532;CHRISTIANSEN;C;C;CHIEVO;4;4;0
577;HETEMAJ;C;C;CHIEVO;6;6;0
584;IZCO;C;C;CHIEVO;7;7;0
615;MBAYE M.;C;C;CHIEVO;1;1;0
648;RADOVANOVIC;C;C;CHIEVO;6;6;0
650;RIGONI N.;C;C;CHIEVO;3;3;0
690;PEPE;C;C;CHIEVO;6;6;0
698;NTOW;C;T;CHIEVO;2;2;0
846;INGLESE;A;A;CHIEVO;6;6;0
869;MEGGIORINI;A;A;CHIEVO;13;13;0
874;MPOKU;A;T;CHIEVO;15;15;0
880;PALOSCHI;A;A;CHIEVO;18;18;0
885;PELLISSIER;A;A;CHIEVO;13;13;0
899;SOWE;A;A;CHIEVO;4;4;0
900;STOIAN;A;T;CHIEVO;4;4;0
139;PELAGOTTI;P;P;EMPOLI;1;1;0
145;PUGLIESI;P;P;EMPOLI;1;1;0
